rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at,report_group
657,Razoavel,0,Empresa não informada,Especialista Em Devops / SRE,<https://www.infojobs.com.br/vaga-de-especialista-devops-sre-em-sao-paulo__11623676.aspx>,browser_mcp,"-sao-paulo__11623676.aspx"">",Brazil-friendly remote,brazil_friendly,Unspecified,,,devops
658,Razoavel,0,Governançabrasil,Arquiteto(a) de Software,<https://governancabrasil.gupy.io/job/eyJqb2JJZCI6MTEyNTQwMTMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,Blumenau,Brazil-friendly remote,brazil_friendly,Architect,,,arq
659,Razoavel,0,Ciesp,Analista de Infraestrutura Sênior,<https://www.vagas.com.br/vagas/v2814381/analista-de-infraestrutura-senior>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Senior,,,devops
660,Razoavel,0,Zeentech,Analista de Qualidade,<https://www.vagas.com.br/vagas/v2813497/analista-de-qualidade>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Pleno,,,qa
661,Razoavel,0,Empresa não informada,ANALISTA DE QUALIDADE (PRODUTO),<https://www.infojobs.com.br/vaga-de-analista-qualidade-produto-em-rio-grande-do-sul__11593376.aspx>,browser_mcp,"-rio-grande-do-sul__11593376.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
662,Razoavel,2,PagBank,Engenheiro de Qualidade Software Sr.,<https://pagseguro.gupy.io/job/eyJqb2JJZCI6MTExMjMyNDcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,Sao Paulo,Brazil-based or Remote Brazil,brazil,Senior,,,qa
663,Razoavel,0,Riachuelo,Analista de Qualidade Pleno,<https://riachuelo.gupy.io/job/eyJqb2JJZCI6MTEzMzQ0MTEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,São Paulo,Brazil-based or Remote Brazil,brazil,Pleno,,,qa
664,Razoavel,0,Grupo SERES,Analista de Qualidade Jr (Validação de Planilhas),<https://www.vagas.com.br/vagas/v2794270/analista-de-qualidade-jr-validacao-de-planilhas>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Junior,,,qa
665,Razoavel,0,Empresa não informada,ANALISTA DE QUALIDADE SR – BILINGUE (INGLÊS),<https://www.infojobs.com.br/vaga-de-analista-qualidade-sr-bilingue-ingles-em-sao-paulo__11606598.aspx>,browser_mcp,"-sao-paulo__11606598.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,,,qa
666,Razoavel,0,Empresa não informada,Desenvolvedor De Firmware &amp; Iot (PJ),<https://www.infojobs.com.br/vaga-de-desenvolvedor-firmware-iot-pj-em-sao-paulo__11501791.aspx>,browser_mcp,"-sao-paulo__11501791.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,pleno
667,Razoavel,0,LEGRAND BRASIL LTDA,Analista de Qualidade Jr,<https://www.vagas.com.br/vagas/v2809420/analista-de-qualidade-jr>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Junior,,,qa
668,Razoavel,0,Empresa não informada,Analista De Qualidade Sênior Natal- RN,<https://www.infojobs.com.br/vaga-de-analista-qualidade-senior-natal-rn-em-rio-grande-do-norte__11595999.aspx>,browser_mcp,"-rio-grande-do-norte__11595999.aspx"">",Brazil-friendly remote,brazil_friendly,Senior,,,qa
669,Razoavel,0,Empresa não informada,ANALISTA DE QUALIDADE JÚNIOR,<https://www.infojobs.com.br/vaga-de-analista-qualidade-junior-em-sao-paulo__11601078.aspx>,browser_mcp,"-sao-paulo__11601078.aspx"">",Brazil-friendly remote,brazil_friendly,Junior,,,qa
670,Razoavel,0,Empresa não informada,Analista De Qualidade E Segurança Do Paciente,<https://www.infojobs.com.br/vaga-de-analista-qualidade-seguranca-do-paciente-em-espirito-santo__11600010.aspx>,browser_mcp,"-espirito-santo__11600010.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
671,Razoavel,0,Empresa não informada,Analista De Qualidade,<https://www.infojobs.com.br/vaga-de-analista-qualidade-em-rio-grande-do-sul__11636986.aspx>,browser_mcp,"-rio-grande-do-sul__11636986.aspx"">",Brazil-friendly remote,brazil_friendly,Pleno,,,qa
