rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at,report_group
17,Excelente,100,Pavago,Software Engineer - Go Specialist,<https://himalayas.app/companies/pavago/jobs/software-engineer-go-specialist-4532371793>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; typescript; postgres; gcp; azure; distributed systems; cloud; platform; backend; api; go; python; java,2026-05-15T05:39:07.000Z,pleno
18,Excelente,100,Sigma Software,Middle Frontend Developer,<https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b/jobs/middle-frontend-developer>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; html-css; graphql; architecture; backend; frontend; api; go; java; playwright,2026-05-18T20:31:21.000Z,pleno
19,Excelente,100,CI&T,"[Job-29285] Mid-Level Fullstack Developer, Brazil (Mulheres)",<https://himalayas.app/companies/ci-t/jobs/job-29285-mid-level-fullstack-developer-brazil-mulheres>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; node; postgres; platform; backend; api; go; java,2026-05-12T22:29:29.000Z,pleno
20,Excelente,100,Counterpart Group GmbH,Full Stack Engineer,<https://himalayas.app/companies/counterpart-group-gmbh/jobs/full-stack-engineer>,himalayas,"Remote / Argentina, Brazil, Chile, Colombia, Dominican Republic, Mexico, Peru",Brazil-friendly remote,brazil_friendly,Pleno,aws; typescript; reactjs; postgres; microservices; architecture; platform; backend; frontend; api; go; python,2026-05-19T10:32:52.000Z,pleno
21,Excelente,99,Remedy Product Studio,Data Engineer,<https://himalayas.app/companies/remedy-product-studio/jobs/data-engineer-8684741421>,himalayas,"Remote / Brazil, Georgia, Poland, Serbia",Brazil-friendly remote,brazil_friendly,Pleno,aws; terraform; typescript; scrum; gcp; azure; architecture; cloud; api; go; python,2026-05-20T09:12:55.000Z,pleno
22,Excelente,99,Talent Sam,Front-End Developer,<https://himalayas.app/companies/talent-sam/jobs/front-end-developer>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Pleno,javascript; typescript; reactjs; html-css; scrum; architecture; backend; frontend; api; go; java,2026-05-19T20:33:37.000Z,pleno
23,Excelente,99,"Stretto, Inc.",Software Engineer,<https://himalayas.app/companies/stretto-inc/jobs/software-engineer>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Pleno,aws; javascript; typescript; reactjs; node; html-css; scrum; architecture; cloud; backend; frontend; api; python; java,2026-05-17T07:33:46.000Z,pleno
24,Excelente,98,CloudWalk,Backend Software Engineer Authentication,<https://himalayas.app/companies/cloudwalk/jobs/backend-software-engineer-authentication>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; terraform; typescript; gcp; cloud; backend,2026-05-08T05:31:48.000Z,pleno
25,Excelente,98,Ciena,Software Developer - Professional Services Inventory,<https://himalayas.app/companies/ciena/jobs/software-developer-professional-services-inventory>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; javascript; typescript; node; postgres; docker; html-css; gcp; azure; kubernetes; cloud; platform; backend; frontend; api; go; java,2026-05-05T20:31:20.000Z,pleno
26,Excelente,98,Sigma Software,Big Data Engineer,<https://himalayas.app/companies/sigma-software-e561c036-16e4-4b2c-aa28-a33af9f3750b/jobs/big-data-engineer>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; typescript; architecture; cloud; platform; backend; api; go; python,2026-05-18T04:37:38.000Z,pleno
27,Excelente,98,CI&T,[Job - 29248] Mid Level Fullstack Developer (Node.js/React) - Vaga afirmativa,<https://himalayas.app/companies/ci-t/jobs/job-29248-mid-level-fullstack-developer-node-js-react-vaga-afirmativa>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; javascript; typescript; nestjs; reactjs; node; postgres; redis; microservices; scrum; architecture; platform; api; go; java,2026-05-07T11:24:32.000Z,pleno
28,Excelente,98,CI&T,"[Job - 29229] Mid Level Backend Developer Golang, Brasil",<https://himalayas.app/companies/ci-t/jobs/job-29229-mid-level-backend-developer-golang-brasil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; typescript; microservices; architecture; cloud; platform; backend; api; go; java,2026-05-09T03:48:04.000Z,pleno
29,Excelente,98,Monks,Fullstack Engineer,<https://himalayas.app/companies/monks/jobs/fullstack-engineer>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,terraform; javascript; typescript; nestjs; reactjs; express; postgres; docker; kubernetes; architecture; backend; frontend; api; go,2026-05-07T10:21:00.000Z,pleno
30,Excelente,98,Bluelight Consulting,"Golang Developer - Remote, Latin America",<https://himalayas.app/companies/bluelight-consulting/jobs/golang-developer-remote-latin-america-7841436439>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,typescript; reactjs; gcp; cloud; platform; backend; api; go; python,2026-05-17T09:08:55.000Z,pleno
31,Excelente,98,Derq,Full-Stack Engineer (Scalable Systems),<https://himalayas.app/companies/derq-com/jobs/full-stack-engineer-scalable-systems>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,aws; javascript; typescript; nestjs; reactjs; docker; microservices; kubernetes; architecture; cloud; platform; backend; frontend; api; go; python,2026-05-10T17:00:34.000Z,pleno
32,Excelente,98,CI&T,[Job-29237] Mid Level Fullstack Developer Java+Angular,<https://himalayas.app/companies/ci-t/jobs/job-29237-mid-level-fullstack-developer-java-angular>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; scrum; platform; frontend; api; java,2026-05-09T14:42:44.000Z,pleno
33,Excelente,98,WeFit,Desenvolvedor(a) Node.js Pleno Temporário,<https://www.programathor.com.br/jobs/33471-desenvolvedor-a-node-js-pleno-temporario>,browser_mcp,Remoto,Brazil-based or Remote Brazil,brazil,Pleno,javascript; node,,pleno
34,Excelente,98,CI&T,"[Job-29166] Mid-Level Fullstack Developer, Brazil (Mulheres)",<https://himalayas.app/companies/ci-t/jobs/job-29166-mid-level-fullstack-developer-brazil-mulheres>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; reactjs; node; microservices; platform; backend; frontend; api; java,2026-05-10T02:07:40.000Z,pleno
35,Excelente,97,Mutual Of Omaha,"Software Engineer (APIs, AWS)",<https://himalayas.app/companies/mutual-of-omaha/jobs/software-engineer-apis-aws>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Pleno,aws; javascript; typescript; scrum; architecture; cloud; platform; api; java,2026-05-17T20:31:17.000Z,pleno
36,Excelente,96,OpenSesame,"Software Engineer, LATAM & Canada",<https://himalayas.app/companies/opensesame/jobs/software-engineer-latam-canada>,himalayas,"Remote / Anguilla, Antigua and Barbuda, Argentina, Aruba, Bahamas, Barbados, Belize, Bermuda, Bolivia, Bonaire, Sint Eustatius and Saba, Brazil, Canada, Cayman Islands, Chile, Colombia, Costa Rica, Cuba, Dominica, Dominican Republic, Ecuador, El Salvador, Falkland Islands (Malvinas), Grenada, Guatemala, Guyana, Haiti, Honduras, Jamaica, Mexico, Montserrat, Nicaragua, Panama, Paraguay, Peru, Puerto Rico, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, South Georgia and the South Sandwich Islands, Suriname, Trinidad and Tobago, Turks and Caicos Islands, Uruguay, Venezuela, Virgin Islands, British, Virgin Islands, U.S.",Brazil-friendly remote,brazil_friendly,Pleno,terraform; javascript; typescript; reactjs; node; scrum; architecture; platform; backend; frontend; go,2026-05-16T07:06:32.000Z,pleno
37,Excelente,94,Mashgin,"Software Engineer, Full-Stack",<https://himalayas.app/companies/mashgin/jobs/software-engineer-full-stack>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,javascript; typescript; node; architecture; cloud; backend; api; go; python; java,2026-05-11T20:31:37.000Z,pleno
38,Excelente,93,Sporty Group,Weekend Backend Engineer,<https://himalayas.app/companies/sporty-group/jobs/weekend-backend-engineer>,himalayas,"Remote / Afghanistan, Albania, Algeria, Andorra, Angola, Anguilla, Antarctica, Antigua and Barbuda, Argentina, Armenia, Aruba, Austria, Azerbaijan, Bahamas, Bahrain, Barbados, Belarus, Belgium, Belize, Benin, Bermuda, Bolivia, Bonaire, Sint Eustatius and Saba, Bosnia and Herzegovina, Botswana, Bouvet Island, Brazil, Bulgaria, Burkina Faso, Burundi, Cabo Verde, Cameroon, Cayman Islands, Central African Republic, Chad, Chile, Colombia, Comoros, Congo, Congo, The Democratic Republic of the, Cook Islands, Costa Rica, Croatia, Cuba, Curaçao, Cyprus, Czechia, Côte d'Ivoire, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Eswatini, Ethiopia, Falkland Islands (Malvinas), Faroe Islands, Finland, France, French Guiana, French Southern Territories, Gabon, Gambia, Georgia, Germany, Ghana, Gibraltar, Greece, Greenland, Grenada, Guadeloupe, Guatemala, Guernsey, Guinea, Guinea-Bissau, Guyana, Haiti, Heard Island and McDonald Islands, Holy See (Vatican City State), Honduras, Hungary, Iceland, Iran, Iraq, Ireland, Isle of Man, Israel, Italy, Jamaica, Jersey, Jordan, Kazakhstan, Kenya, Kuwait, Kyrgyzstan, Latvia, Lebanon, Lesotho, Liberia, Libya, Liechtenstein, Lithuania, Luxembourg, Madagascar, Malawi, Mali, Malta, Martinique, Mauritania, Mauritius, Mayotte, Mexico, Moldova, Monaco, Montenegro, Montserrat, Morocco, Mozambique, Namibia, Netherlands, Nicaragua, Niger, Nigeria, North Macedonia, Norway, Oman, Palestine, State of, Panama, Paraguay, Peru, Poland, Portugal, Puerto Rico, Qatar, Romania, Russian Federation, Rwanda, Réunion, Saint Barthélemy, Saint Helena, Ascension and Tristan da Cunha, Saint Kitts and Nevis, Saint Lucia, Saint Martin (French part), Saint Pierre and Miquelon, Saint Vincent and the Grenadines, San Marino, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Sint Maarten (Dutch part), Slovakia, Slovenia, Somalia, South Africa, South Georgia and the South Sandwich Islands, South Sudan, Spain, Sudan, Suriname, Svalbard and Jan Mayen, Sweden, Switzerland, Syrian Arab Republic, Tajikistan, Tanzania, Togo, Trinidad and Tobago, Tunisia, Turkey, Turkmenistan, Turks and Caicos Islands, Uganda, Ukraine, United Arab Emirates, United Kingdom, Uruguay, Uzbekistan, Venezuela, Virgin Islands, British, Virgin Islands, U.S., Western Sahara, Yemen, Zambia, Zimbabwe, Åland Islands",Brazil-friendly remote,brazil_friendly,Pleno,aws; typescript; redis; docker; microservices; kubernetes; architecture; cloud; platform; backend; api; go; java,2026-05-10T06:32:17.000Z,pleno
39,Excelente,93,Prhospect soluções em R&amp;S,Desenvolvedor(a) Front-End Pleno | React,<https://www.programathor.com.br/jobs/33493-desenvolvedor-a-front-end-pleno-react>,browser_mcp,Remoto,Brazil-based or Remote Brazil,brazil,Pleno,reactjs; frontend,,pleno
40,Excelente,92,Hint Health,"Software Engineer, Mobile (iOS & Android)",<https://himalayas.app/companies/hint-health/jobs/software-engineer-mobile-ios-android>,himalayas,"Remote / Brazil, Mexico, Uruguay",Brazil-friendly remote,brazil_friendly,Pleno,typescript; reactjs; react-native; architecture; platform; backend; api; go,2026-05-14T21:44:44.000Z,pleno
41,Excelente,92,Nelnet,Software Engineer II,<https://himalayas.app/companies/nelnet/jobs/software-engineer-ii>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Pleno,aws; typescript; scrum; cloud; backend; api; go; python; java,2026-05-12T22:17:30.000Z,pleno
42,Excelente,92,CI&T,"[Job-29254] Backend Engineer (Orquestração &amp; Integrações), Brazil",<https://himalayas.app/companies/ci-t/jobs/job-29254-backend-engineer-orquestracao-amp-integracoes-brazil>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,typescript; redis; platform; backend; api,2026-05-09T09:06:10.000Z,pleno
43,Excelente,89,Resend,"Backend Engineer, Core Sending",<https://jobs.ashbyhq.com/resend/a95832a8-a2ab-4a63-8303-9989f1fc47d6>,ashby,Americas / Remote / Full-time,LATAM remote,latam,Pleno,aws; typescript; postgres; architecture; cloud; platform; backend; api; go,2026-05-07,pleno
44,Excelente,88,Banco BV,Engenheiro de Software Pleno (Java),<https://himalayas.app/companies/banco-bv/jobs/engenheiro-de-software-pleno-java>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,gcp; architecture; cloud; backend; go; python; java,2026-05-17T06:43:57.000Z,pleno
45,Excelente,86,CloudWalk,Backend Software Engineer,<https://himalayas.app/companies/cloudwalk/jobs/backend-software-engineer>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,typescript; architecture; cloud; backend,2026-05-07T23:38:28.000Z,pleno
46,Excelente,86,Talkover AI,Desenvolvedor(a) PHP Laravel + Python | Pleno,<https://programathor.com.br/jobs/33467-desenvolvedor-a-php-laravel-python-pleno>,programathor,Remoto,Brazil-based or Remote Brazil,brazil,Pleno,api; python,,pleno
47,Excelente,85,CI&T,"[Job 27954] Developer Java, Pleno",<https://himalayas.app/companies/ci-t/jobs/job-27954-developer-java-pleno>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,typescript; scrum; platform; api; java,2026-05-08T05:02:47.000Z,pleno
48,Excelente,85,"Bemax Group, LLC",Data Engineer / BI Analyst (Azure Synapse & Fabric) - Pleno,<https://programathor.com.br/jobs/33501-data-engineer-bi-analyst-azure-synapse-fabric-pleno>,programathor,Remoto,Brazil-based or Remote Brazil,brazil,Pleno,azure; python,,pleno
49,Otima,84,CI&T,[Job 29310] Desenvolvedor Salesforce Master,<https://himalayas.app/companies/ci-t/jobs/job-29310-desenvolvedor-salesforce-master>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,typescript; scrum; platform,2026-05-14T17:00:01.000Z,pleno
50,Otima,81,Articul8,Software Engineer (India),<https://himalayas.app/companies/articul8/jobs/software-engineer-india>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Pleno,typescript; backend,2026-05-07T15:58:13.000Z,pleno
