rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at
1,Excelente,100,Digital Forms,Solution Architect,<https://himalayas.app/companies/digitalforms/jobs/solution-architect>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Architect,aws; microservices; gcp; azure; architecture; cloud; platform; api; go,2026-05-07T15:26:22.000Z
2,Excelente,100,Altais Health Solutions,Senior Systems Architect,<https://himalayas.app/companies/altais-health-solutions/jobs/senior-systems-architect-902224059>,himalayas,Remote,Brazil-friendly remote,brazil_friendly,Architect,aws; terraform; azure; architecture; cloud; platform; api; go,2026-05-07T20:31:05.000Z
3,Excelente,100,CI&T,[Job-29200] Arquiteto de Software Senior (.NET/React),<https://himalayas.app/companies/ci-t/jobs/job-29200-arquiteto-de-software-senior-net-react>,himalayas,Remote / Brazil,Brazil-based or Remote Brazil,brazil,Architect,reactjs; microservices; node; architecture; cloud; platform; java,2026-05-07T14:29:42.000Z
4,Otima,70,Performance Development Group,Full Time Solution Architect,<https://himalayas.app/companies/performance-development-group/jobs/full-time-solution-architect>,himalayas,Remote,worldwide-compatible remote,international,Architect,reactjs; architecture; go,2026-05-08T04:05:55.000Z
