rank,fit,score,company,title,url,source,location,fit_reason,job_market,seniority,stack_signals,published_at,report_group
27,Razoavel,18,TIM Brasil,Solution Architect - Especialista (POWER PLATFORM),<https://vemprotime.gupy.io/job/eyJqb2JJZCI6MTEyMTU0MTEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,Rio de Janeiro,Brazil-based or Remote Brazil,brazil,Architect,platform,,arq
28,Razoavel,18,Encontre aqui uma vaga na Logicalis Brasil,Solution Architect Especialista (AIOps &amp; Observability),<https://vagaslogicalisbrasil.gupy.io/job/eyJqb2JJZCI6MTEwNjc2MjEsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,São Paulo,Brazil-based or Remote Brazil,brazil,Architect,,,arq
29,Razoavel,18,Porto,Arquiteto de Soluções Espec. (Foco em Engenharia),<https://porto.gupy.io/job/eyJqb2JJZCI6MTExNTc0NzgsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,São Paulo,Brazil-based or Remote Brazil,brazil,Architect,,,arq
30,Razoavel,18,Encontre aqui uma vaga na Logicalis Brasil,Solution Architect – Telco (Pré-Vendas),<https://vagaslogicalisbrasil.gupy.io/job/eyJqb2JJZCI6MTExNTA5MDcsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,São Paulo,Brazil-based or Remote Brazil,brazil,Architect,,,arq
31,Razoavel,17,Certsys,Arquiteto de Software,<https://certsys.gupy.io/job/eyJqb2JJZCI6MTExNDg0MjAsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,São Paulo,Brazil-based or Remote Brazil,brazil,Architect,,,arq
32,Razoavel,14,Vetta Tecnologia,Arquiteto de Software (Mobile),<https://vetta.gupy.io/job/eyJqb2JJZCI6MTExNTM5MzMsInNvdXJjZSI6Imd1cHlfcG9ydGFsIn0=?jobBoardSource=gupy_portal>,browser_mcp,Belo Horizonte,Brazil-based or Remote Brazil,brazil,Architect,,,arq
33,Razoavel,12,Talent Group,11201 - Arquiteto(a) de Soluções Sênior (pré-vendas/ Governo) - Brasília/ DF,<https://www.vagas.com.br/vagas/v2806720/11201-arquiteto-a-de-solucoes-senior-pre-vendas-governo-brasilia-df>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Architect,go,,arq
34,Razoavel,11,Talent Group,11203 - Arquiteto(a) de Soluções Sênior (pré-Vendas) - Belo Horizonte/ MG,<https://www.vagas.com.br/vagas/v2806574/11203-arquiteto-a-de-solucoes-senior-pre-vendas-belo-horizonte-mg>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Architect,,,arq
35,Razoavel,11,Talent Group,11200 - Arquiteto(a) de Soluções Pleno (pré-Vendas) - São Paulo/ SP,<https://www.vagas.com.br/vagas/v2806659/11200-arquiteto-a-de-solucoes-pleno-pre-vendas-sao-paulo-sp>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Architect,,,arq
36,Razoavel,11,Talent Group,11204 - Arquiteto(a) de Soluções Sênior (pré-Vendas) - Porto Alegre/ RS,<https://www.vagas.com.br/vagas/v2806575/11204-arquiteto-a-de-solucoes-senior-pre-vendas-porto-alegre-rs>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Architect,,,arq
37,Razoavel,11,Talent Group,11196 - Arquiteto(a) de Soluções,<https://www.vagas.com.br/vagas/v2806253/11196-arquiteto-a-de-solucoes>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Architect,,,arq
38,Razoavel,11,Talent Group,11205 - Arquiteto(a) de Soluções Sênior (pré-Vendas) - São Paulo/ SP,<https://www.vagas.com.br/vagas/v2806577/11205-arquiteto-a-de-solucoes-senior-pre-vendas-sao-paulo-sp>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Architect,,,arq
39,Razoavel,11,Talent Group,11202 - Arquiteto(a) de Soluções Sênior (pré-Vendas) - Fortaleza/ CE,<https://www.vagas.com.br/vagas/v2806738/11202-arquiteto-a-de-solucoes-senior-pre-vendas-fortaleza-ce>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Architect,,,arq
40,Razoavel,11,Talent Group,11199 - Arquiteto(a) de Soluções Pleno (pré-Vendas) - Rio de Janeiro/ RJ,<https://www.vagas.com.br/vagas/v2806658/11199-arquiteto-a-de-solucoes-pleno-pre-vendas-rio-de-janeiro-rj>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Architect,,,arq
41,Razoavel,11,Talent Group,11235 - Arquiteto de Soluções Sênior,<https://www.vagas.com.br/vagas/v2813028/11235-arquiteto-de-solucoes-senior>,browser_mcp,,Brazil-friendly remote,brazil_friendly,Architect,,,arq
